Iain Stewart; 1964; Scotland; University of Bristol
Bernard Vonnegut; 1914; United States; Doctor of Philosophy
Jacqueline K. Barton; 1952; United States; Columbia University
David Peter Stroh; 1950; United States; University of Michigan
Richard S. Varga; 1928; United States; Harvard University
Richard S. Varga; 1928; United States; Case Western Reserve University
Clarence Lusane; 1953; United States; Howard University
Yvonne Shirley Thornton; 1947; United States; Columbia University College of Physicians and Surgeons
Yvonne Shirley Thornton; 1947; United States; Monmouth University
Richard Levine; 1939; United States; Rensselaer Polytechnic Institute
Richard Levine; 1939; United States; Rhode Island School of Design
Jon M. Mills; 1947; United States; Stetson University
Frederick Sanger; 1918; Gloucestershire; St John's College, Cambridge
Frank Lee Pyman; 1882; Worcestershire; University of Manchester
John Cornforth; 1917; Australia; University of Sydney
Lev Davidovich Landau; 1908; Azerbaijan; Baku State University
George Chaldakov; 1940; Bulgaria; Doctor of Philosophy
Andrew Carnie; 1969; Canada; Massachusetts Institute of Technology
Sidney Altman; 1939; Canada; Massachusetts Institute of Technology
John Johnston Oneill; 1886; Canada; Yale University
Duncan J. Watts; 1971; Canada; Cornell University
Henri Lebesgue; 1875; France; University of Paris
Louis de Broglie; 1892; France; University of Paris
Athanassios S Fokas; 1952; Greece; California Institute of Technology
Robert Hanbury Brown; 1916; India; University of London
Jan Boldingh; 1915; Indonesia; Utrecht University
Carlo Rubbia; 1934; Italy; Scuola Normale Superiore di Pisa
Mark H. Overmars; 1958; Netherlands; Utrecht University
Albert A. Michelson; 1852; Poland; United States Naval Academy
Abraham Robinson; 1918; Poland; University of London
Manuel Castells; 1942; Spain; University of Paris
Ernst Antevs; 1888; Sweden; Stockholm University
Edward Ginzton; 1915; Ukraine; Stanford University
Edward Ginzton; 1915; Ukraine; University of California, Berkeley
Frederick Sanger; 1918; United Kingdom; St John's College, Cambridge
Frank Lee Pyman; 1882; United Kingdom; University of Manchester
Joseph John Thomson; 1856; United Kingdom; University of Manchester
Keith Nugent; 1959; United Kingdom; Australian National University
Edward Witten; 1951; United States; Brandeis University
Norbert Wiener; 1894; United States; Tufts University
Boyd Haley; 1940; United States; University of Idaho
Scott Shenker; 1956; United States; Brown University
Ivan Edward Sutherland; 1938; United States; California Institute of Technology
Peter W. Shor; 1959; United States; California Institute of Technology
Robert Carhart Merton; 1944; United States; California Institute of Technology
Robert Endre Tarjan; 1948; United States; California Institute of Technology
Charles Lane Poor; 1866; United States; Johns Hopkins University
Frederic M. Richards; 1925; United States; Massachusetts Institute of Technology
George Lakoff; 1941; United States; Massachusetts Institute of Technology
Ivan Edward Sutherland; 1938; United States; Massachusetts Institute of Technology
Peter W. Shor; 1959; United States; Massachusetts Institute of Technology
Robert Carhart Merton; 1944; United States; Massachusetts Institute of Technology
Robert A. Millikan; 1868; United States; Oberlin College
Paul Flory; 1910; United States; Ohio State University
Edward Witten; 1951; United States; Princeton University
John Willard Milnor; 1931; United States; Princeton University
Andrew J. Majda; 1949; United States; Purdue University
Mary Fanett Wheeler; 1938; United States; Rice University
Willis Harman; 1918; United States; Stanford University
Andrew J. Majda; 1949; United States; Stanford University
Nolan Bushnell; 1943; United States; Stanford University
Robert Endre Tarjan; 1948; United States; Stanford University
Ronald Linn Rivest; 1947; United States; Stanford University
Emanuel Parzen; 1929; United States; University of California, Berkeley
Alexander Theodore Shulgin; 1925; United States; University of California, Berkeley
Lynn Margulis; 1938; United States; University of California, Berkeley
Sanford Alexander Moss; 1872; United States; University of California, San Francisco
Alexander Theodore Shulgin; 1925; United States; University of California, San Francisco
Scott Shenker; 1956; United States; University of Chicago
Michael C. Jensen; 1939; United States; University of Chicago
Lynn Margulis; 1938; United States; University of Chicago
Robert Thomas Moore; 1882; United States; University of Pennsylvania
William Shainline Middleton; 1890; United States; University of Pennsylvania
Nolan Bushnell; 1943; United States; University of Utah
Robert R. Phelps; 1926; United States; University of Washington
David Schizer; 1968; United States; Yale University
Robert O. Mendelsohn; 1952; United States; Yale University
Ronald Linn Rivest; 1947; United States; Yale University
Sanford Alexander Moss; 1872; United States; Cornell University
Barbara McClintock; 1902; United States; Cornell University
Frank Drake; 1930; United States; Cornell University
Persi Diaconis; 1945; United States; City College of New York
George Lakoff; 1941; United States; Indiana University
Michael P. Taylor; 1968; Hertfordshire; University of Warwick
Michael P. Taylor; 1968; Hertfordshire; University of Portsmouth
Mortimer Wheeler; 1890; Scotland; Bradford Grammar School
G. H. Hardy; 1877; Surrey; University of Cambridge
Hedley Marston; 1900; Australia; University of Adelaide
Peter Doherty; 1940; Australia; University of Edinburgh
John Cornforth; 1917; Australia; St Catherine's College, Oxford
Peter Doherty; 1940; Australia; University of Queensland
Otto Rank; 1884; Austria; University of Vienna
Paul Ehrenfest; 1880; Austria; University of Vienna
Paul Ehrenfest; 1880; Austria; Technische Hochschule
Lev Davidovich Landau; 1908; Azerbaijan; Ioffe Institute
Lev Davidovich Landau; 1908; Azerbaijan; Saint Petersburg State University
George Chaldakov; 1940; Bulgaria; Medical University of Varna
Duncan J. Watts; 1971; Canada; University of New South Wales
John Johnston Oneill; 1886; Canada; McGill University
Sidney Altman; 1939; Canada; University of Colorado Boulder
Rolf Singer; 1906; Germany; University of Vienna
Akhtar Hameed Khan; 1914; India; Magdalene College, Cambridge
Raj Chandra Bose; 1901; India; University of Calcutta
Satyendra Nath Bose; 1894; India; University of Calcutta
Yadolah Dodge; 1944; Iran; Oregon State University
Adi Shamir; 1952; Israel; Bachelor of Science
Adi Shamir; 1952; Israel; Weizmann Institute of Science
Carlo Rubbia; 1934; Italy; Columbia University
Heike Kamerlingh Onnes; 1853; Netherlands; University of Groningen
Heike Kamerlingh Onnes; 1853; Netherlands; Heidelberg University
Peter Fulde; 1936; Poland; University of Hamburg
Albert A. Michelson; 1852; Poland; Humboldt University of Berlin
Peter Fulde; 1936; Poland; University of Maryland, College Park
Alfred Tarski; 1901; Poland; University of Warsaw
Hugo Steinhaus; 1887; Poland; Lviv University
Abraham Robinson; 1918; Poland; Hebrew University of Jerusalem
Eugeny Pchelov; 1971; Russia; Russian State University for the Humanities
Ivo Lah; 1896; Slovenia; University of Zagreb
Keith Nugent; 1959; United Kingdom; University of Adelaide
J. B. S. Haldane; 1892; United Kingdom; University of Oxford
Michael P. Taylor; 1968; United Kingdom; University of Warwick
Mortimer Wheeler; 1890; United Kingdom; Bradford Grammar School
Anthony Hallam; 1933; United Kingdom; University of Cambridge
Alan Lindsay Mackay; 1926; United Kingdom; University of Cambridge
Archibald Hill; 1886; United Kingdom; University of Cambridge
G. H. Hardy; 1877; United Kingdom; University of Cambridge
Joseph John Thomson; 1856; United Kingdom; University of Cambridge
Sophie Wilson; 1957; United Kingdom; University of Cambridge
Michael P. Taylor; 1968; United Kingdom; University of Portsmouth
Alan Lindsay Mackay; 1926; United Kingdom; Birkbeck, University of London
Edward Thomas Hall; 1924; United Kingdom; New College, Oxford
Alan Lindsay Mackay; 1926; United Kingdom; Oundle School
Antony Jameson; 1934; United Kingdom; Trinity Hall, Cambridge
Lawrence Paul Horwitz; 1930; United States; Columbia University
Elman Service; 1915; United States; Columbia University
Howard Zinn; 1922; United States; Columbia University
Robert A. Millikan; 1868; United States; Columbia University
Robert Carhart Merton; 1944; United States; Columbia University
George W. Snedecor; 1881; United States; University of Michigan
Elman Service; 1915; United States; University of Michigan
Lawrence Paul Horwitz; 1930; United States; Harvard University
Julian Cecil Stanley; 1918; United States; Harvard University
Solon Toothaker Kimball; 1909; United States; Harvard University
Frederic M. Richards; 1925; United States; Harvard University
Robert O. Mendelsohn; 1952; United States; Harvard University
Robert Thomas Moore; 1882; United States; Harvard University
Alexander Theodore Shulgin; 1925; United States; Harvard University
Frank Drake; 1930; United States; Harvard University
Norbert Wiener; 1894; United States; Harvard University
Persi Diaconis; 1945; United States; Harvard University
Ivan Edward Sutherland; 1938; United States; Carnegie Institute of Technology
Emanuel Parzen; 1929; United States; Harvard College
Howard Zinn; 1922; United States; New York University
Mark Hersam; 1975; United States; University of Cambridge
Mary Fanett Wheeler; 1938; United States; Bachelor of Arts
Mary Fanett Wheeler; 1938; United States; Master of Arts
Boyd Haley; 1940; United States; Franklin College (Indiana)
Julian Cecil Stanley; 1918; United States; Georgia Southern University
Joe Bastardi; 1955; United States; Pennsylvania State University
Mary Fanett Wheeler; 1938; United States; University of Texas at Austin
Boyd Haley; 1940; United States; Washington State University
Michael C. Jensen; 1939; United States; Macalester College
Paul Flory; 1910; United States; Manchester University (Indiana)
Jean Berko Gleason; 1931; United States; Radcliffe College
Lee Willerman; 1939; United States; Wayne State University
Frank Watson Dyson; 1868; Leicestershire; Trinity College, Cambridge
William Thomas Tutte; 1917; Suffolk; Trinity College, Cambridge
Fiona Juliet Stanley; 1946; Australia; University of London
Sir Grafton Elliot Smith; 1871; Australia; University of Sydney
John Job Crew Bradfield; 1867; Australia; University of Sydney
Fiona Juliet Stanley; 1946; Australia; London School of Hygiene & Tropical Medicine
Karl H. Pribram; 1919; Austria; University of Chicago
Vladimir Prelog; 1906; Bosnia and Herzegovina; Czech Technical University in Prague
Hsue-shen Qian; 1911; China; California Institute of Technology
Hsue-shen Qian; 1911; China; Massachusetts Institute of Technology
Shing-Tung Yau; 1949; China; University of California, Berkeley
Arno Allan Penzias; 1933; Germany; City College of New York
Arno Allan Penzias; 1933; Germany; Columbia University
Kollagunta Gopalaiyer Ramanathan; 1920; India; Princeton University
Gregorio Ricci-Curbastro; 1853; Italy; Scuola Normale Superiore di Pisa
Juris Hartmanis; 1928; Latvia; California Institute of Technology
Aaron Klug; 1926; Lithuania; Trinity College, Cambridge
Jan Tinbergen; 1903; Netherlands; Leiden University
Martinus Beijerinck; 1851; Netherlands; Leiden University
Jacobus Cornelius Kapteyn; 1851; Netherlands; Utrecht University
Abraham (Bram) Pais; 1918; Netherlands; Utrecht University
Simon van der Meer; 1925; Netherlands; Delft University of Technology
Walther Nernst; 1864; Poland; University of Graz
Alexei A. Abrikosov; 1928; Russia; Moscow State University
Vitaly L. Ginzburg; 1916; Russia; Moscow State University
Oskar Klein; 1894; Sweden; Stockholm University
Carl-Gustaf Rossby; 1898; Sweden; Stockholm University
V. Walfrid Ekman; 1874; Sweden; Uppsala University
Anthony Giddens; 1938; United Kingdom; London School of Economics
Charles Algernon Parsons; 1854; United Kingdom; St John's College, Cambridge
Elihu Thomson; 1853; United Kingdom; Tufts University
Peter Mansfield; 1933; United Kingdom; University of London
William Thomas Tutte; 1917; United Kingdom; Trinity College, Cambridge
Frank Watson Dyson; 1868; United Kingdom; Trinity College, Cambridge
Elihu Thomson; 1853; United Kingdom; Yale University
Charles R Drew; 1904; United States; Amherst College
Grote Reber; 1911; United States; Illinois Institute of Technology
Wes Jackson; 1936; United States; North Carolina State University
Lewis Roberts Binford; 1931; United States; University of North Carolina at Chapel Hill
David Bohm; 1917; United States; California Institute of Technology
Edwin McMillan; 1907; United States; California Institute of Technology
Gertrude Elion; 1918; United States; Hunter College
Steven Brams; 1940; United States; Massachusetts Institute of Technology
Charles Greeley Abbot; 1872; United States; Massachusetts Institute of Technology
Alan Harvey Guth; 1947; United States; Massachusetts Institute of Technology
Charles Stark Draper; 1901; United States; Massachusetts Institute of Technology
Solomon Kullback; 1907; United States; Mathematics
Dana Stewart Scott; 1932; United States; Princeton University
Edwin McMillan; 1907; United States; Princeton University
Richard E. Stearns; 1936; United States; Princeton University
Arthur Holly Compton; 1892; United States; Princeton University
Walter Alvarez; 1940; United States; Princeton University
Harry Hess; 1906; United States; Princeton University
Dudley R. Herschback; 1932; United States; Stanford University
Charles Stark Draper; 1901; United States; Stanford University
Stanley Miller; 1930; United States; University of California, Berkeley
Dana Stewart Scott; 1932; United States; University of California, Berkeley
David Bohm; 1917; United States; University of California, Berkeley
Herbert York; 1921; United States; University of California, Berkeley
Donald Johanson; 1943; United States; University of Chicago
Isadore Singer; 1924; United States; University of Chicago
Saunders Mac Lane; 1909; United States; University of Chicago
Robert S. Shankland; 1908; United States; University of Chicago
Michael Behe; 1952; United States; University of Pennsylvania
Charles Bachman; 1924; United States; University of Pennsylvania
Herbert York; 1921; United States; University of Rochester
Martha Chase; 1927; United States; University of Southern California
Edwin Catmull; 1945; United States; University of Utah
Saunders Mac Lane; 1909; United States; Yale University
Joshua Lederberg; 1925; United States; Yale University
Gerard Kitchen O'Neill; 1927; United States; Cornell University
Frank Press; 1924; United States; City College of New York
Solomon Kullback; 1907; United States; City College of New York
Abraham Sinkov; 1907; United States; City College of New York
Ferid Murad; 1936; United States; Case Western Reserve University School of Medicine
Charles R Drew; 1904; United States; Columbia University
Marshall Sahlins; 1930; United States; Columbia University
Rashid Alievich Sunyaev; 1943; Uzbekistan; Moscow State University
Edmund Brisco Ford; 1901; Cumbria; University of Oxford
Bernard Lovell; 1913; England; University of Bristol
James Hopwood Jeans; 1877; England; University of Cambridge
James Hopwood Jeans; 1877; England; Merchant Taylors' School, Northwood
John Robert Vane; 1927; England; St Catherine's College, Oxford
James Hopwood Jeans; 1877; Lancashire; University of Cambridge
James Hopwood Jeans; 1877; Lancashire; Merchant Taylors' School, Northwood
John Stewart Bell; 1928; Northern Ireland; Queen's University Belfast
John Boyd Orr; 1880; Scotland; University of Glasgow
John Robert Vane; 1927; Worcestershire; St Catherine's College, Oxford
John Job Crew Bradfield; 1867; Australia; Bachelor of Engineering
Karl Menger; 1902; Austria; University of Vienna
Sir Peter Medawar; 1915; Brazil; University of Oxford
William Morton Kahan; 1933; Canada; University of Toronto
Hsue-shen Qian; 1911; China; Shanghai Jiao Tong University
Shing-Tung Yau; 1949; China; Chinese University of Hong Kong
Johann Radon; 1887; Czech Republic; University of Vienna
Hans Adolf Krebs; 1900; Germany; University of Hamburg
Hans Adolf Krebs; 1900; Germany; Humboldt University of Berlin
Otto Fritz Meyerhof; 1884; Germany; University of Strasbourg
Otto Fritz Meyerhof; 1884; Germany; Heidelberg University
Johannes Stark; 1874; Germany; Ludwig Maximilian University of Munich
Georgios Papanikolaou; 1883; Greece; National and Kapodistrian University of Athens
Georgios Papanikolaou; 1883; Greece; Ludwig Maximilian University of Munich
George Andrew Olah; 1927; Hungary; Budapest University of Technology and Economics
Peter David Lax; 1926; Hungary; Courant Institute of Mathematical Sciences
Peter David Lax; 1926; Hungary; Stuyvesant High School
Giulio Natta; 1903; Italy; Polytechnic University of Milan
Humayun Abdulali; 1914; Japan; St. Xavier's College, Mumbai
Mario J. Molina; 1943; Mexico; National Autonomous University of Mexico
Walther Nernst; 1864; Poland; University of Zurich
Gerhard Domagk; 1895; Poland; University of Kiel
Walther Nernst; 1864; Poland; Humboldt University of Berlin
Joseph Rotblat; 1908; Poland; University of Liverpool
Joseph Rotblat; 1908; Poland; University of Warsaw
Alexei A. Abrikosov; 1928; Russia; Russian Academy of Sciences
Oskar Klein; 1894; Sweden; Norwegian Nobel Institute
Carl-Gustaf Rossby; 1898; Sweden; Leipzig University
Jean Piccard; 1884; Switzerland; ETH Zurich
Martin Gutzwiller; 1925; Switzerland; ETH Zurich
Eugen Bleuler; 1857; Switzerland; University of Zurich
Bernard Lovell; 1913; United Kingdom; University of Bristol
John Boyd Orr; 1880; United Kingdom; University of Glasgow
Alexander R. Todd; 1907; United Kingdom; University of Glasgow
Alexander R. Todd; 1907; United Kingdom; University of Oxford
Edmund Brisco Ford; 1901; United Kingdom; University of Oxford
Elihu Thomson; 1853; United Kingdom; Harvard University
Anthony Giddens; 1938; United Kingdom; University of Hull
Lewis Fry Richardson; 1881; United Kingdom; Durham University
Lewis Fry Richardson; 1881; United Kingdom; King's College, Cambridge
Anthony Giddens; 1938; United Kingdom; University of Cambridge
James Hopwood Jeans; 1877; United Kingdom; University of Cambridge
Lewis Fry Richardson; 1881; United Kingdom; Bootham School
Alexander R. Todd; 1907; United Kingdom; Goethe University Frankfurt
James Hopwood Jeans; 1877; United Kingdom; Merchant Taylors' School, Northwood
John Stewart Bell; 1928; United Kingdom; Queen's University Belfast
Peter Mansfield; 1933; United Kingdom; Queen Mary University of London
John Robert Vane; 1927; United Kingdom; St Catherine's College, Oxford
Charles Algernon Parsons; 1854; United Kingdom; Trinity College, Dublin
Frank Press; 1924; United States; Columbia University
Joshua Lederberg; 1925; United States; Columbia University
Lewis Roberts Binford; 1931; United States; University of Michigan
Isadore Singer; 1924; United States; University of Michigan
Marshall Sahlins; 1930; United States; University of Michigan
Dudley R. Herschback; 1932; United States; Harvard University
Susan Lindquist; 1949; United States; Harvard University
Richard Manning Karp; 1935; United States; Harvard University
Joseph Hooton Taylor; 1941; United States; Harvard University
Paul Lauterbur; 1929; United States; Case Western Reserve University
Robert S. Shankland; 1908; United States; Case Western Reserve University
Solomon Kullback; 1907; United States; George Washington University
Abraham Sinkov; 1907; United States; George Washington University
Charles R Drew; 1904; United States; McGill University
Charles Bachman; 1924; United States; Michigan State University
Steven Brams; 1940; United States; Northwestern University
David Bohm; 1917; United States; Pennsylvania State University
Wes Jackson; 1936; United States; Kansas Wesleyan University
Ferid Murad; 1936; United States; DePauw University
W. E. B. Du Bois; 1868; United States; Fisk University
Joseph Hooton Taylor; 1941; United States; Haverford College
Joshua Lederberg; 1925; United States; Stuyvesant High School
Rashid Alievich Sunyaev; 1943; Uzbekistan; Moscow Institute of Physics and Technology
John Robert Vane; 1927; England; University of Birmingham
John Stewart Bell; 1928; Northern Ireland; University of Birmingham
William Ramsey; 1852; Scotland; University of Strathclyde
John Robert Vane; 1927; Worcestershire; University of Birmingham
Fiona Juliet Stanley; 1946; Australia; University of Western Australia
Hans Adolf Krebs; 1900; Germany; University of Freiburg
Carlo Rovelli; 1956; Italy; University of Padua
Carlo Rovelli; 1956; Italy; University of Bologna
Carlo Rovelli; 1956; Italy; University of Trento
Torahiko Terada; 1878; Japan; University of Tokyo
Mario J. Molina; 1943; Mexico; University of Freiburg
Joseph Rotblat; 1908; Poland; Free Polish University
Gheorghe Marinescu; 1863; Romania; University of Bucharest
Martin Gutzwiller; 1925; Switzerland; University of Kansas
John Robert Vane; 1927; United Kingdom; University of Birmingham
William Ramsey; 1852; United Kingdom; University of Strathclyde
John Stewart Bell; 1928; United Kingdom; University of Birmingham
Russell Alan Hulse; 1950; United States; University of Massachusetts Amherst
Wes Jackson; 1936; United States; University of Kansas
Norman Borlaug; 1914; United States; University of Minnesota
Paul Lauterbur; 1929; United States; University of Pittsburgh
Arthur Holmes; 1890; England national football team; Royal College of Science
James Lovelock; 1919; Hertfordshire; London School of Hygiene & Tropical Medicine
Freeman John Dyson; 1923; Berkshire; Cornell University
Henry Moseley; 1887; Dorset; Trinity College, Oxford
James Lovelock; 1919; England; London School of Hygiene & Tropical Medicine
Martin Evans; 1941; Gloucestershire; University College London
Martin Evans; 1941; Gloucestershire; Christ's College, Cambridge
Francis Crick; 1916; Northamptonshire; University College London
Francis Crick; 1916; Northamptonshire; Northampton School for Boys
Alexander Fleming; 1881; Scotland; Imperial College London
Alexander Fleming; 1881; Scotland; University of Westminster
Murray Batchelor; 1961; Australia; Australian National University
Christian Koeberl; 1959; Austria; University of Graz
Megh Nad Saha; 1893; Bangladesh; Dhaka College
Brian Wilson Kernighan; 1942; Canada; Princeton University
Gilbert Plass; 1920; Canada; Princeton University
Arthur Philemon Coleman; 1852; Canada; Victoria University, Toronto
Luis Davidson San Juan; 1921; Cuba; University of Havana
Jacques Forest; 1920; France; University of Lille Nord de France
Andreas Mandelis; 1952; Greece; Yale University
Sultan Bashiruddin Mahmood; 1938; India; University of Manchester
Tathagat Avatar Tulsi; 1987; India; Indian Institute of Science
David Deutsch; 1953; Israel; Clare College, Cambridge
Amico Bignami; 1862; Italy; Sapienza University of Rome
Maarten Schmidt; 1929; Netherlands; Leiden Observatory
Cornelis Bernardus van Niel; 1897; Netherlands; Delft University of Technology
Ernest Rutherford; 1871; New Zealand; University of Canterbury
Benoît Mandelbrot; 1924; Poland; University of Paris
Benoît Mandelbrot; 1924; Poland; California Institute of Technology
Andrei Linde; 1948; Russia; Moscow State University
Alex Rasnitsyn; 1936; Russia; Moscow State University
Andrei Dmitrievich Sakharov; 1921; Russia; Moscow State University
Kharrasov Mukhamet Hadisovich; 1948; Russia; Moscow State University
Fritz Pregl; 1869; Slovenia; University of Graz
Arthur Holmes; 1890; United Kingdom; Royal College of Science
Andrew Wiles; 1953; United Kingdom; Clare College, Cambridge
Alexander Fleming; 1881; United Kingdom; Imperial College London
Martin Evans; 1941; United Kingdom; University College London
Francis Crick; 1916; United Kingdom; University College London
Martin Evans; 1941; United Kingdom; Christ's College, Cambridge
Alan Mathison Turing; 1912; United Kingdom; Princeton University
Freeman John Dyson; 1923; United Kingdom; Cornell University
Jack W. Szostak; 1952; United Kingdom; Cornell University
James Lovelock; 1919; United Kingdom; London School of Hygiene & Tropical Medicine
Frederick Soddy; 1877; United Kingdom; Aberystwyth University
Henry Moseley; 1887; United Kingdom; Trinity College, Oxford
Francis Crick; 1916; United Kingdom; Northampton School for Boys
Alexander Fleming; 1881; United Kingdom; University of Westminster
Mary Lura Sherrill; 1888; United States; Randolph College
Leonard Carmichael; 1898; United States; Tufts University
Donald Ervin Knuth; 1938; United States; California Institute of Technology
Edwin Grant Conklin; 1863; United States; Johns Hopkins University
Thomas Milton Rivers; 1888; United States; Johns Hopkins University
Benjamin Whorf; 1897; United States; Massachusetts Institute of Technology
Claude E. Shannon; 1916; United States; Massachusetts Institute of Technology
Dan Bricklin; 1951; United States; Massachusetts Institute of Technology
Doc Edgerton; 1903; United States; Massachusetts Institute of Technology
Charles F. Hockett; 1916; United States; Ohio State University
John Bardeen; 1908; United States; Princeton University
Catharine Cox; 1890; United States; Stanford University
Douglas Richard Hofstadter; 1945; United States; Stanford University
Bill Joy; 1954; United States; University of California, Berkeley
Douglas Carl Engelbart; 1925; United States; University of California, Berkeley
Glenn Theodore Seaborg; 1912; United States; University of California, Los Angeles
Craig Venter; 1946; United States; University of California, San Diego
Bruce A. Beutler; 1957; United States; University of California, San Diego
Robert M. Solovay; 1938; United States; University of Chicago
Patrick O. Brown; 1954; United States; University of Chicago
Mary Lura Sherrill; 1888; United States; University of Chicago
Edwin Powell Hubble; 1889; United States; University of Chicago
Herbert Alexander Simon; 1916; United States; University of Chicago
James Dewey Watson; 1928; United States; University of Chicago
Paul J. Cohen; 1934; United States; University of Chicago
Bruce A. Beutler; 1957; United States; University of Chicago
Vincent Duvigneaud; 1901; United States; University of Rochester
Alan Curtis Kay; 1940; United States; University of Utah
Sidney Dillon II Ripley; 1913; United States; Yale University
